"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 29 11:22:36 CET 2023","Sun Jan 29 11:22:45 CET 2023","8808","chromium","specs\test.spec.js","","","","Verify on entering valid login and password, the customer can login",""
"passed","Sun Jan 29 11:22:36 CET 2023","Sun Jan 29 11:22:47 CET 2023","11402","chromium","specs\test.spec.js","","","","Main menu",""
"passed","Sun Jan 29 11:22:36 CET 2023","Sun Jan 29 11:22:43 CET 2023","7423","chromium","specs\test.spec.js","","","","Top menu",""
"passed","Sun Jan 29 11:22:36 CET 2023","Sun Jan 29 11:22:47 CET 2023","10675","chromium","specs\test.spec.js","","","","Verify registering with valid credentials",""
